station,train_no,destination,expected_arr,time_to_station,tfl_status,time
PSG,062,Edgware Road,2026-07-21T15:02:41Z,583,Good Service,2026-07-21 14:53:38.108907+00:00
FBY,052,Edgware Road,2026-07-21T14:55:12Z,134,Good Service,2026-07-21 14:53:38.253783+00:00
FBY,062,Edgware Road,2026-07-21T15:04:42Z,704,Good Service,2026-07-21 14:53:38.259899+00:00
WIP,062,Edgware Road,2026-07-21T14:54:06Z,69,Good Service,2026-07-21 14:53:59.253732+00:00
SFS,062,Edgware Road,2026-07-21T14:55:11Z,134,Good Service,2026-07-21 14:53:59.365875+00:00
EPY,062,Edgware Road,2026-07-21T14:58:12Z,293,Good Service,2026-07-21 14:53:59.594351+00:00
PYB,062,Edgware Road,2026-07-21T14:59:41Z,403,Good Service,2026-07-21 14:53:59.690692+00:00
PSG,052,Edgware Road,2026-07-21T14:52:36Z,2,Good Service,2026-07-21 14:53:59.795807+00:00
PSG,062,Edgware Road,2026-07-21T15:03:36Z,662,Good Service,2026-07-21 14:53:59.800357+00:00
FBY,052,Edgware Road,2026-07-21T14:55:12Z,112,Good Service,2026-07-21 14:53:59.917232+00:00
FBY,062,Edgware Road,2026-07-21T15:04:42Z,682,Good Service,2026-07-21 14:53:59.920993+00:00
SFS,062,Edgware Road,2026-07-21T14:55:11Z,134,Good Service,2026-07-21 14:54:21.206412+00:00
EPY,062,Edgware Road,2026-07-21T14:59:09Z,328,Good Service,2026-07-21 14:54:21.606489+00:00
PYB,062,Edgware Road,2026-07-21T14:59:41Z,403,Good Service,2026-07-21 14:54:21.712148+00:00
PSG,052,Edgware Road,2026-07-21T14:53:05Z,7,Good Service,2026-07-21 14:54:21.823319+00:00
PSG,062,Edgware Road,2026-07-21T15:02:41Z,583,Good Service,2026-07-21 14:54:21.827768+00:00
FBY,052,Edgware Road,2026-07-21T14:55:12Z,134,Good Service,2026-07-21 14:54:21.942903+00:00
FBY,062,Edgware Road,2026-07-21T15:04:42Z,704,Good Service,2026-07-21 14:54:21.947426+00:00
WIP,062,Edgware Road,2026-07-21T14:54:27Z,24,Good Service,2026-07-21 14:54:43.085139+00:00
SFS,062,Edgware Road,2026-07-21T14:56:09Z,126,Good Service,2026-07-21 14:54:43.214665+00:00
EPY,062,Edgware Road,2026-07-21T14:58:12Z,293,Good Service,2026-07-21 14:54:43.331394+00:00
PYB,062,Edgware Road,2026-07-21T15:00:40Z,397,Good Service,2026-07-21 14:54:43.713390+00:00
PSG,062,Edgware Road,2026-07-21T15:03:40Z,576,Good Service,2026-07-21 14:54:43.851719+00:00
FBY,052,Edgware Road,2026-07-21T14:55:10Z,66,Good Service,2026-07-21 14:54:44.016536+00:00
