station,train_no,destination,expected_arr,time_to_station,tfl_status,time
EPY,071,Wimbledon,2026-07-21T15:07:35Z,1043,Good Service,2026-07-21 14:51:44.975995+00:00
PYB,054,Wimbledon,2026-07-21T14:59:37Z,537,Good Service,2026-07-21 14:51:45.096870+00:00
PYB,070,Wimbledon,2026-07-21T14:53:07Z,147,Good Service,2026-07-21 14:51:45.102239+00:00
PYB,071,Wimbledon,2026-07-21T15:05:37Z,897,Good Service,2026-07-21 14:51:45.107269+00:00
PYB,072,Wimbledon,2026-07-21T15:12:37Z,1317,Good Service,2026-07-21 14:51:45.112535+00:00
PSG,054,Wimbledon,2026-07-21T14:57:38Z,418,Good Service,2026-07-21 14:51:45.239236+00:00
PSG,070,Wimbledon,2026-07-21T14:51:03Z,23,Good Service,2026-07-21 14:51:45.247493+00:00
PSG,071,Wimbledon,2026-07-21T15:03:37Z,777,Good Service,2026-07-21 14:51:45.252579+00:00
PSG,072,Wimbledon,2026-07-21T15:10:37Z,1197,Good Service,2026-07-21 14:51:45.258813+00:00
FBY,054,Wimbledon,2026-07-21T14:53:38Z,177,Good Service,2026-07-21 14:51:45.481489+00:00
FBY,071,Wimbledon,2026-07-21T14:58:38Z,477,Good Service,2026-07-21 14:51:45.488039+00:00
FBY,072,Wimbledon,2026-07-21T15:08:38Z,1077,Good Service,2026-07-21 14:51:45.493335+00:00
WIP,054,Wimbledon,2026-07-21T15:05:38Z,852,Good Service,2026-07-21 14:52:06.789711+00:00
WIP,063,Wimbledon,2026-07-21T14:55:38Z,252,Good Service,2026-07-21 14:52:06.792558+00:00
WIP,070,Wimbledon,2026-07-21T14:58:38Z,432,Good Service,2026-07-21 14:52:06.794863+00:00
WIP,071,Wimbledon,2026-07-21T15:11:38Z,1212,Good Service,2026-07-21 14:52:06.797615+00:00
WIP,072,Wimbledon,2026-07-21T15:18:38Z,1632,Good Service,2026-07-21 14:52:06.801156+00:00
SFS,054,Wimbledon,2026-07-21T15:03:38Z,754,Good Service,2026-07-21 14:52:06.899395+00:00
SFS,063,Wimbledon,2026-07-21T14:54:08Z,184,Good Service,2026-07-21 14:52:06.902142+00:00
SFS,070,Wimbledon,2026-07-21T14:56:38Z,334,Good Service,2026-07-21 14:52:06.904949+00:00
SFS,071,Wimbledon,2026-07-21T15:09:38Z,1114,Good Service,2026-07-21 14:52:06.906990+00:00
SFS,072,Wimbledon,2026-07-21T15:16:37Z,1533,Good Service,2026-07-21 14:52:06.908823+00:00
EPY,054,Wimbledon,2026-07-21T15:02:37Z,717,Good Service,2026-07-21 14:52:07.040197+00:00
EPY,063,Wimbledon,2026-07-21T14:52:38Z,118,Good Service,2026-07-21 14:52:07.042811+00:00
EPY,070,Wimbledon,2026-07-21T14:56:07Z,327,Good Service,2026-07-21 14:52:07.045596+00:00
EPY,071,Wimbledon,2026-07-21T15:08:37Z,1077,Good Service,2026-07-21 14:52:07.048796+00:00
EPY,072,Wimbledon,2026-07-21T15:15:37Z,1497,Good Service,2026-07-21 14:52:07.051450+00:00
PYB,054,Wimbledon,2026-07-21T14:59:37Z,537,Good Service,2026-07-21 14:52:07.159878+00:00
PYB,070,Wimbledon,2026-07-21T14:53:07Z,147,Good Service,2026-07-21 14:52:07.162599+00:00
PYB,071,Wimbledon,2026-07-21T15:05:37Z,897,Good Service,2026-07-21 14:52:07.165045+00:00
PYB,072,Wimbledon,2026-07-21T15:12:37Z,1317,Good Service,2026-07-21 14:52:07.167567+00:00
PSG,054,Wimbledon,2026-07-21T14:56:36Z,309,Good Service,2026-07-21 14:52:07.280137+00:00
PSG,071,Wimbledon,2026-07-21T15:01:36Z,609,Good Service,2026-07-21 14:52:07.283066+00:00
PSG,072,Wimbledon,2026-07-21T15:11:36Z,1209,Good Service,2026-07-21 14:52:07.308916+00:00
FBY,054,Wimbledon,2026-07-21T14:53:36Z,128,Good Service,2026-07-21 14:52:08.575446+00:00
FBY,071,Wimbledon,2026-07-21T14:58:36Z,428,Good Service,2026-07-21 14:52:08.578039+00:00
FBY,072,Wimbledon,2026-07-21T15:08:36Z,1028,Good Service,2026-07-21 14:52:08.580050+00:00
WIP,054,Wimbledon,2026-07-21T15:04:35Z,766,Good Service,2026-07-21 14:52:29.706466+00:00
